活性炭更换预警报告
==================================================

生成时间: 2025-08-01 15:09:05
数据文件: 可视化项目/7.24.csv
  原因: 达到预警时间点(5765420.4s)，穿透率0.876达到预警阈值0.806
  建议: 建议立即更换活性炭，设备已达到预警状态

事件 27:
  时间: 6157790.0s
  预警等级: 橙色
  穿透率: 87.2%
  吸附效率: 12.8%
  原因: 达到预警时间点(5765420.4s)，穿透率0.872达到预警阈值0.806
  建议: 建议立即更换活性炭，设备已达到预警状态

事件 28:
  时间: 6167253.5s
  预警等级: 橙色
  穿透率: 86.5%
  吸附效率: 13.5%
  原因: 达到预警时间点(5765420.4s)，穿透率0.865达到预警阈值0.806
  建议: 建议立即更换活性炭，设备已达到预警状态

事件 29:
  时间: 6186374.0s
  预警等级: 橙色
  穿透率: 87.6%
  吸附效率: 12.4%
  原因: 达到预警时间点(5765420.4s)，穿透率0.876达到预警阈值0.806
  建议: 建议立即更换活性炭，设备已达到预警状态

事件 30:
  时间: 6229825.0s
  预警等级: 橙色
  穿透率: 84.7%
  吸附效率: 15.3%
  原因: 达到预警时间点(5765420.4s)，穿透率0.847达到预警阈值0.806
  建议: 建议立即更换活性炭，设备已达到预警状态

事件 31:
  时间: 6234762.5s
  预警等级: 橙色
  穿透率: 90.7%
  吸附效率: 9.3%
  原因: 达到预警时间点(5765420.4s)，穿透率0.907达到预警阈值0.806
  建议: 建议立即更换活性炭，设备已达到预警状态

事件 32:
  时间: 6243323.5s
  预警等级: 橙色
  穿透率: 93.0%
  吸附效率: 7.0%
  原因: 达到预警时间点(5765420.4s)，穿透率0.930达到预警阈值0.806
  建议: 建议立即更换活性炭，设备已达到预警状态

事件 33:
  时间: 6248923.0s
  预警等级: 橙色
  穿透率: 88.2%
  吸附效率: 11.8%
  原因: 达到预警时间点(5765420.4s)，穿透率0.882达到预警阈值0.806
  建议: 建议立即更换活性炭，设备已达到预警状态

事件 34:
  时间: 6256315.5s
  预警等级: 橙色
  穿透率: 81.3%
  吸附效率: 18.7%
  原因: 达到预警时间点(5765420.4s)，穿透率0.813达到预警阈值0.806
  建议: 建议立即更换活性炭，设备已达到预警状态

事件 35:
  时间: 6262935.0s
  预警等级: 橙色
  穿透率: 84.6%
  吸附效率: 15.4%
  原因: 达到预警时间点(5765420.4s)，穿透率0.846达到预警阈值0.806
  建议: 建议立即更换活性炭，设备已达到预警状态

事件 36:
  时间: 6272339.0s
  预警等级: 橙色
  穿透率: 90.1%
  吸附效率: 9.9%
  原因: 达到预警时间点(5765420.4s)，穿透率0.901达到预警阈值0.806
  建议: 建议立即更换活性炭，设备已达到预警状态

事件 37:
  时间: 6308242.0s
  预警等级: 橙色
  穿透率: 87.6%
  吸附效率: 12.4%
  原因: 达到预警时间点(5765420.4s)，穿透率0.876达到预警阈值0.806
  建议: 建议立即更换活性炭，设备已达到预警状态

事件 38:
  时间: 6315207.5s
  预警等级: 橙色
  穿透率: 83.0%
  吸附效率: 17.0%
  原因: 达到预警时间点(5765420.4s)，穿透率0.830达到预警阈值0.806
  建议: 建议立即更换活性炭，设备已达到预警状态

事件 39:
  时间: 6322898.5s
  预警等级: 橙色
  穿透率: 88.0%
  吸附效率: 12.0%
  原因: 达到预警时间点(5765420.4s)，穿透率0.880达到预警阈值0.806
  建议: 建议立即更换活性炭，设备已达到预警状态

事件 40:
  时间: 6330050.0s
  预警等级: 橙色
  穿透率: 89.3%
  吸附效率: 10.7%
  原因: 达到预警时间点(5765420.4s)，穿透率0.893达到预警阈值0.806
  建议: 建议立即更换活性炭，设备已达到预警状态

事件 41:
  时间: 6336360.5s
  预警等级: 橙色
  穿透率: 82.0%
  吸附效率: 18.0%
  原因: 达到预警时间点(5765420.4s)，穿透率0.820达到预警阈值0.806
  建议: 建议立即更换活性炭，设备已达到预警状态

事件 42:
  时间: 6342993.0s
  预警等级: 橙色
  穿透率: 83.7%
  吸附效率: 16.3%
  原因: 达到预警时间点(5765420.4s)，穿透率0.837达到预警阈值0.806
  建议: 建议立即更换活性炭，设备已达到预警状态

事件 43:
  时间: 6349634.0s
  预警等级: 橙色
  穿透率: 88.2%
  吸附效率: 11.8%
  原因: 达到预警时间点(5765420.4s)，穿透率0.882达到预警阈值0.806
  建议: 建议立即更换活性炭，设备已达到预警状态

事件 44:
  时间: 6358389.0s
  预警等级: 橙色
  穿透率: 91.1%
  吸附效率: 8.9%
  原因: 达到预警时间点(5765420.4s)，穿透率0.911达到预警阈值0.806
  建议: 建议立即更换活性炭，设备已达到预警状态

事件 45:
  时间: 6393861.0s
  预警等级: 橙色
  穿透率: 91.5%
  吸附效率: 8.5%
  原因: 达到预警时间点(5765420.4s)，穿透率0.915达到预警阈值0.806
  建议: 建议立即更换活性炭，设备已达到预警状态

事件 46:
  时间: 6401122.5s
  预警等级: 橙色
  穿透率: 84.6%
  吸附效率: 15.4%
  原因: 达到预警时间点(5765420.4s)，穿透率0.846达到预警阈值0.806
  建议: 建议立即更换活性炭，设备已达到预警状态

事件 47:
  时间: 6423992.0s
  预警等级: 橙色
  穿透率: 83.3%
  吸附效率: 16.7%
  原因: 达到预警时间点(5765420.4s)，穿透率0.833达到预警阈值0.806
  建议: 建议立即更换活性炭，设备已达到预警状态

事件 48:
  时间: 6431474.0s
  预警等级: 橙色
  穿透率: 88.4%
  吸附效率: 11.6%
  原因: 达到预警时间点(5765420.4s)，穿透率0.884达到预警阈值0.806
  建议: 建议立即更换活性炭，设备已达到预警状态

事件 49:
  时间: 6436385.5s
  预警等级: 橙色
  穿透率: 90.7%
  吸附效率: 9.3%
  原因: 达到预警时间点(5765420.4s)，穿透率0.907达到预警阈值0.806
  建议: 建议立即更换活性炭，设备已达到预警状态

事件 50:
  时间: 6445597.0s
  预警等级: 橙色
  穿透率: 86.7%
  吸附效率: 13.3%
  原因: 达到预警时间点(5765420.4s)，穿透率0.867达到预警阈值0.806
  建议: 建议立即更换活性炭，设备已达到预警状态

事件 51:
  时间: 6480473.0s
  预警等级: 橙色
  穿透率: 91.7%
  吸附效率: 8.3%
  原因: 达到预警时间点(5765420.4s)，穿透率0.917达到预警阈值0.806
  建议: 建议立即更换活性炭，设备已达到预警状态

事件 52:
  时间: 6487932.0s
  预警等级: 橙色
  穿透率: 84.8%
  吸附效率: 15.2%
  原因: 达到预警时间点(5765420.4s)，穿透率0.848达到预警阈值0.806
  建议: 建议立即更换活性炭，设备已达到预警状态

事件 53:
  时间: 6495788.0s
  预警等级: 橙色
  穿透率: 82.8%
  吸附效率: 17.2%
  原因: 达到预警时间点(5765420.4s)，穿透率0.828达到预警阈值0.806
  建议: 建议立即更换活性炭，设备已达到预警状态

事件 54:
  时间: 6515169.5s
  预警等级: 橙色
  穿透率: 85.5%
  吸附效率: 14.5%
  原因: 达到预警时间点(5765420.4s)，穿透率0.855达到预警阈值0.806
  建议: 建议立即更换活性炭，设备已达到预警状态

事件 55:
  时间: 6522119.0s
  预警等级: 橙色
  穿透率: 87.6%
  吸附效率: 12.4%
  原因: 达到预警时间点(5765420.4s)，穿透率0.876达到预警阈值0.806
  建议: 建议立即更换活性炭，设备已达到预警状态

事件 56:
  时间: 6529367.0s
  预警等级: 橙色
  穿透率: 88.2%
  吸附效率: 11.8%
  原因: 达到预警时间点(5765420.4s)，穿透率0.882达到预警阈值0.806
  建议: 建议立即更换活性炭，设备已达到预警状态

事件 57:
  时间: 6568645.0s
  预警等级: 橙色
  穿透率: 90.4%
  吸附效率: 9.6%
  原因: 达到预警时间点(5765420.4s)，穿透率0.904达到预警阈值0.806
  建议: 建议立即更换活性炭，设备已达到预警状态

事件 58:
  时间: 6575688.5s
  预警等级: 橙色
  穿透率: 87.9%
  吸附效率: 12.1%
  原因: 达到预警时间点(5765420.4s)，穿透率0.879达到预警阈值0.806
  建议: 建议立即更换活性炭，设备已达到预警状态

事件 59:
  时间: 6585364.5s
  预警等级: 橙色
  穿透率: 86.2%
  吸附效率: 13.8%
  原因: 达到预警时间点(5765420.4s)，穿透率0.862达到预警阈值0.806
  建议: 建议立即更换活性炭，设备已达到预警状态

事件 60:
  时间: 6594824.5s
  预警等级: 橙色
  穿透率: 94.2%
  吸附效率: 5.8%
  原因: 达到预警时间点(5765420.4s)，穿透率0.942达到预警阈值0.806
  建议: 建议立即更换活性炭，设备已达到预警状态

事件 61:
  时间: 6604326.0s
  预警等级: 橙色
  穿透率: 92.7%
  吸附效率: 7.3%
  原因: 达到预警时间点(5765420.4s)，穿透率0.927达到预警阈值0.806
  建议: 建议立即更换活性炭，设备已达到预警状态

事件 62:
  时间: 6609657.0s
  预警等级: 橙色
  穿透率: 89.2%
  吸附效率: 10.8%
  原因: 达到预警时间点(5765420.4s)，穿透率0.892达到预警阈值0.806
  建议: 建议立即更换活性炭，设备已达到预警状态

事件 63:
  时间: 6617213.0s
  预警等级: 橙色
  穿透率: 93.5%
  吸附效率: 6.5%
  原因: 达到预警时间点(5765420.4s)，穿透率0.935达到预警阈值0.806
  建议: 建议立即更换活性炭，设备已达到预警状态

事件 64:
  时间: 6660149.5s
  预警等级: 橙色
  穿透率: 86.6%
  吸附效率: 13.4%
  原因: 达到预警时间点(5765420.4s)，穿透率0.866达到预警阈值0.806
  建议: 建议立即更换活性炭，设备已达到预警状态

事件 65:
  时间: 6667890.0s
  预警等级: 橙色
  穿透率: 83.9%
  吸附效率: 16.1%
  原因: 达到预警时间点(5765420.4s)，穿透率0.839达到预警阈值0.806
  建议: 建议立即更换活性炭，设备已达到预警状态

事件 66:
  时间: 6674538.5s
  预警等级: 橙色
  穿透率: 84.9%
  吸附效率: 15.1%
  原因: 达到预警时间点(5765420.4s)，穿透率0.849达到预警阈值0.806
  建议: 建议立即更换活性炭，设备已达到预警状态

事件 67:
  时间: 6685678.5s
  预警等级: 橙色
  穿透率: 86.4%
  吸附效率: 13.6%
  原因: 达到预警时间点(5765420.4s)，穿透率0.864达到预警阈值0.806
  建议: 建议立即更换活性炭，设备已达到预警状态

事件 68:
  时间: 6696580.0s
  预警等级: 橙色
  穿透率: 82.1%
  吸附效率: 17.9%
  原因: 达到预警时间点(5765420.4s)，穿透率0.821达到预警阈值0.806
  建议: 建议立即更换活性炭，设备已达到预警状态

事件 69:
  时间: 6702412.0s
  预警等级: 橙色
  穿透率: 81.7%
  吸附效率: 18.3%
  原因: 达到预警时间点(5765420.4s)，穿透率0.817达到预警阈值0.806
  建议: 建议立即更换活性炭，设备已达到预警状态

事件 70:
  时间: 6746481.5s
  预警等级: 橙色
  穿透率: 97.6%
  吸附效率: 2.4%
  原因: 达到预警时间点(5765420.4s)，穿透率0.976达到预警阈值0.806
  建议: 建议立即更换活性炭，设备已达到预警状态

事件 71:
  时间: 6753014.5s
  预警等级: 橙色
  穿透率: 87.5%
  吸附效率: 12.5%
  原因: 达到预警时间点(5765420.4s)，穿透率0.875达到预警阈值0.806
  建议: 建议立即更换活性炭，设备已达到预警状态

事件 72:
  时间: 6760614.5s
  预警等级: 橙色
  穿透率: 87.1%
  吸附效率: 12.9%
  原因: 达到预警时间点(5765420.4s)，穿透率0.871达到预警阈值0.806
  建议: 建议立即更换活性炭，设备已达到预警状态

事件 73:
  时间: 6769380.5s
  预警等级: 橙色
  穿透率: 84.4%
  吸附效率: 15.6%
  原因: 达到预警时间点(5765420.4s)，穿透率0.844达到预警阈值0.806
  建议: 建议立即更换活性炭，设备已达到预警状态

事件 74:
  时间: 6776599.5s
  预警等级: 橙色
  穿透率: 86.9%
  吸附效率: 13.1%
  原因: 达到预警时间点(5765420.4s)，穿透率0.869达到预警阈值0.806
  建议: 建议立即更换活性炭，设备已达到预警状态

事件 75:
  时间: 6781998.5s
  预警等级: 橙色
  穿透率: 80.7%
  吸附效率: 19.3%
  原因: 达到预警时间点(5765420.4s)，穿透率0.807达到预警阈值0.806
  建议: 建议立即更换活性炭，设备已达到预警状态

事件 76:
  时间: 6788865.5s
  预警等级: 橙色
  穿透率: 85.7%
  吸附效率: 14.3%
  原因: 达到预警时间点(5765420.4s)，穿透率0.857达到预警阈值0.806
  建议: 建议立即更换活性炭，设备已达到预警状态

事件 77:
  时间: 6826136.0s
  预警等级: 橙色
  穿透率: 84.9%
  吸附效率: 15.1%
  原因: 达到预警时间点(5765420.4s)，穿透率0.849达到预警阈值0.806
  建议: 建议立即更换活性炭，设备已达到预警状态

事件 78:
  时间: 6834926.5s
  预警等级: 橙色
  穿透率: 95.4%
  吸附效率: 4.6%
  原因: 达到预警时间点(5765420.4s)，穿透率0.954达到预警阈值0.806
  建议: 建议立即更换活性炭，设备已达到预警状态

事件 79:
  时间: 6844007.0s
  预警等级: 橙色
  穿透率: 90.0%
  吸附效率: 10.0%
  原因: 达到预警时间点(5765420.4s)，穿透率0.900达到预警阈值0.806
  建议: 建议立即更换活性炭，设备已达到预警状态

事件 80:
  时间: 6854136.0s
  预警等级: 橙色
  穿透率: 87.4%
  吸附效率: 12.6%
  原因: 达到预警时间点(5765420.4s)，穿透率0.874达到预警阈值0.806
  建议: 建议立即更换活性炭，设备已达到预警状态

事件 81:
  时间: 6861545.0s
  预警等级: 橙色
  穿透率: 89.3%
  吸附效率: 10.7%
  原因: 达到预警时间点(5765420.4s)，穿透率0.893达到预警阈值0.806
  建议: 建议立即更换活性炭，设备已达到预警状态

事件 82:
  时间: 6869968.5s
  预警等级: 橙色
  穿透率: 85.6%
  吸附效率: 14.4%
  原因: 达到预警时间点(5765420.4s)，穿透率0.856达到预警阈值0.806
  建议: 建议立即更换活性炭，设备已达到预警状态

当前预警状态: 橙色
最新预警时间: 6869968.5s

==================================================
